,Unnamed: 0,ytid,start_s,end_s,aspect_list,caption,Discogs400 genre,MTG Jamendo genre,danceability,happy,sad,relaxed,mood and theme,instruments,voice gender
0,0,-0Gj8-vB1q4,30,40,"['low quality', 'sustained strings melody', 'soft female vocal', 'mellow piano melody', 'sad', 'soulful', 'ballad']","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful, like something you would hear at Sunday services.",Stage & Screen---Soundtrack,classical,not_danceable,non_happy,sad,relaxed,"['film', 'epic', 'emotional', 'drama', 'relaxing']","['piano', 'violin', 'cello']",female
1,1,-0SdAVK79lg,30,40,"['guitar song', 'piano backing', 'simple percussion', 'relaxing melody', 'slow tempo', 'bass', 'country feel', 'instrumental', 'no voice']",This song features an electric guitar as the main instrument. The guitar plays a descending run in the beginning then plays an arpeggiated chord followed by a double stop hammer on to a higher note and a descending slide followed by a descending chord run. The percussion plays a simple beat using rim shots. The percussion plays in common time. The bass plays only one note on the first count of each bar. The piano plays backing chords. There are no voices in this song. The mood of this song is relaxing. This song can be played in a coffee shop.,Blues---Delta Blues,pop,not_danceable,non_happy,sad,relaxed,"['love', 'happy', 'ballad', 'inspiring', 'background']","['guitar', 'acousticguitar', 'bass']",female
2,2,-0vPFx-wRRI,30,40,"['amateur recording', 'finger snipping', 'male mid range voice singing', 'reverb']","a male voice is singing a melody with changing tempos while snipping his fingers rhythmically. The recording sounds like it has been recorded in an empty room. This song may be playing, practicing snipping and singing along.",Electronic---House,electronic,danceable,non_happy,non_sad,non_relaxed,"['energetic', 'melodic', 'happy', 'dark', 'love']","['synthesizer', 'guitar', 'drums']",female
3,3,-0xzrMun0Rs,30,40,"['backing track', 'jazzy', 'digital drums', 'piano', 'e-bass', 'trumpet', 'acoustic guitar', 'digital keyboard song', 'medium tempo']",This song contains digital drums playing a simple groove along with two guitars. One strumming chords along with the snare the other one playing a melody on top. An e-bass is playing the footnote while a piano is playing a major and minor chord progression. A trumpet is playing a loud melody alongside the guitar. All the instruments sound flat and are being played by a keyboard. There are little bongo hits in the background panned to the left side of the speakers. Apart from the music you can hear eating sounds and a stomach rumbling. This song may be playing for an advertisement.,Electronic---Downtempo,pop,danceable,non_happy,sad,relaxed,"['melodic', 'happy', 'background', 'relaxing', 'christmas']","['guitar', 'drums', 'synthesizer']",male
4,4,-1LrH01Ei1w,30,40,"['rubab instrument', 'repetitive melody on different octaves', 'no other instruments', 'plucked string instrument', 'no voice', 'instrumental', 'fast tempo']",This song features a rubber instrument being played. The strumming is fast. The melody is played on one fretted string and other open strings. The melody is played on the lower octave and is later repeated on the higher octave. This song can be played at a folk party.,Classical---Contemporary,experimental,danceable,happy,non_sad,relaxed,"['happy', 'energetic', 'melodic', 'uplifting', 'upbeat']","['bass', 'drums', 'piano']",female
5,5,-1OlgJWehn8,30,40,"['instrumental', 'white noise', 'female vocalisation', 'three unrelated tracks', 'electric guitar harmony', 'bass guitar', 'keyboard harmony', 'female lead vocalisation', 'keyboard harmony', 'slick drumming', 'boomy bass drops', 'male voice backup vocalisation']","This clip is three tracks playing consecutively. The first one is an electric guitar lead harmony with a groovy bass line, followed by white noise and then a female vocalisation to a vivacious melody with a keyboard harmony, slick drumming, funky bass lines and male backup. The three songs are unrelated and unsynced.",Electronic---Dance-pop,pop,danceable,non_happy,non_sad,relaxed,"['energetic', 'love', 'happy', 'melodic', 'sad']","['drums', 'bass', 'electricguitar']",female
6,6,-1UWSisR2zo,30,40,"['live performance', 'poor audio quality', 'ambient noises', 'school dance program', 'crowd noise', 'high gain volume', 'hissing tones', 'medium tempo', 'techno dance song', 'male singer', 'groovy bass line', 'techno dance rhythm', 'keyboard accompaniment', 'kids dancing', 'noisy crowds', 'home video', 'school program', 'noise']","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track for the dancing children. The audio quality is very poor with high gains and hissing noise.",Electronic---Electro,electronic,danceable,happy,non_sad,non_relaxed,"['energetic', 'melodic', 'love', 'dark', 'sport']","['synthesizer', 'drums', 'bass']",male
7,7,-3Kv4fdm7Uk,30,40,"['steeldrum', 'higher register', 'amateur recording']",someone is playing a high pitched melody on a steel drum. The file is of poor audio-quality.,Jazz---Ragtime,electronic,not_danceable,happy,non_sad,relaxed,"['christmas', 'melodic', 'energetic', 'happy', 'love']","['piano', 'drums', 'synthesizer']",male
8,8,-4NLarMj4xU,30,40,"['pop', 'tinny wide hi hats', 'mellow piano melody', 'high pitched female vocal melody', 'sustained pulsating synth lead', 'soft female vocal', 'punchy kick', 'sustained synth bass', 'claps', 'emotional', 'sad', 'passionate']","The Pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. It sounds emotional, sad, passionate and like something you would hear on a radio.",Funk / Soul---Contemporary R&B,pop,danceable,non_happy,non_sad,relaxed,"['love', 'deep', 'energetic', 'relaxing', 'motivational']","['piano', 'synthesizer', 'bass']",female
9,9,-4SYC2YgzL8,30,40,"['solo live direct input acoustic guitar strumming', 'airy suspended open chords', 'low fidelity', 'ambient sounds', 'paper shuffling']","low fidelity audio from a live performance featuring a solo direct input acoustic guitar strumming airy, suspended open chords. Also present are occasional ambient sounds, perhaps papers being shuffled.",Rock---Indie Rock,folk,not_danceable,non_happy,sad,relaxed,"['meditative', 'love', 'relaxing', 'happy', 'ballad']","['guitar', 'acousticguitar', 'electricguitar']",male
